Gene,TSS,Phenotype,P Value,Gene Score,Hit Class,External
HMGCR,HMGCR,-22.55481001,0.000131367,-87.54680444,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HMGCR+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCR)
HMGCS1,HMGCS1,-26.09306155,0.000566099,-84.72697877,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HMGCS1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCS1)
SEPSECS,SEPSECS,-22.29766752,0.000160328,-84.6194392,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SEPSECS+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPSECS)
ATP6V1C1,ATP6V1C1,-21.36316524,0.000131367,-82.92141892,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP6V1C1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1C1)
PPP2R1A,PPP2R1A_P1,-18.4681331,0.000156405,-70.28508587,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPP2R1A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R1A)
ARPC3,ARPC3_P1,-16.93490288,0.000141596,-65.18157774,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ARPC3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARPC3)
SOD1,SOD1,-16.91365593,0.000145169,-64.91674453,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SOD1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1)
PGGT1B,PGGT1B,-16.53230055,0.000138106,-63.81116624,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PGGT1B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGGT1B)
ATP6V1A,ATP6V1A,-15.60669656,0.000164344,-59.05958134,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP6V1A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1A)
EFTUD1,EFTUD1,-15.49810108,0.000156405,-58.98188838,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=EFTUD1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFTUD1)
ASNA1,ASNA1,-14.99198801,0.000131367,-58.19160712,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ASNA1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASNA1)
SQLE,SQLE,-15.28072851,0.000168455,-57.66207497,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SQLE+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SQLE)
ARPC2,ARPC2_P1,-16.80269968,0.000504756,-55.39713158,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ARPC2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARPC2)
TARS2,TARS2,-14.42921643,0.000200054,-53.37154702,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TARS2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARS2)
