ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP4216	Chromosomal and microsatellite instability in colorectal cancer 	7/67	73/8205	1.87146798454641e-06	0.000550211587456645	0.000384143428406895	3725/7157/5599/10912/581/324/836	7
WP707	DNA damage response	6/67	69/8205	1.89076177320361e-05	0.00211811499128042	0.00147881282957279	5925/7157/993/10912/581/836	6
WP314	Fas ligand pathway and stress induction of heat shock proteins	5/67	44/8205	2.64928708709245e-05	0.00211811499128042	0.00147881282957279	5925/3725/1676/5599/836	5
WP2263	Androgen receptor network in prostate cancer	7/67	110/8205	2.88178910378288e-05	0.00211811499128042	0.00147881282957279	5925/3725/7157/5599/993/581/836	7
WP1971	Integrated cancer pathway	5/67	49/8205	4.50756314994115e-05	0.0026504471321654	0.00185047329313374	5925/7157/993/581/836	5
WP3611	Photodynamic therapy-induced AP-1 survival signaling	5/67	51/8205	5.48330003287777e-05	0.00268681701611011	0.00187586580072134	5925/3725/7157/5599/581	5
WP1772	Apoptosis modulation and signaling	6/67	92/8205	9.7116798320282e-05	0.003978011139631	0.00277734397503775	3725/1676/7157/5599/581/836	6
WP3982	miRNA regulation of p53 pathway in prostate cancer	4/67	31/8205	0.000108245201078394	0.003978011139631	0.00277734397503775	192668/7157/581/836	4
WP4658	Small cell lung cancer	6/67	96/8205	0.000123080087300571	0.00402061618515199	0.0028070897103639	5925/1028/7157/10912/581/836	6
WP1530	miRNA regulation of DNA damage response	6/67	98/8205	0.000137980685211415	0.0040566321452156	0.00283223511749746	5925/7157/993/10912/581/836	6
WP399	Wnt signaling pathway and pluripotency	6/67	102/8205	0.000172065908032441	0.00459885245104887	0.00321079924079674	79923/3725/7157/5460/324/2033	6
WP3594	Circadian rhythm genes	8/67	201/8205	0.000213027837228924	0.00521918201210865	0.00364389721575792	56339/3725/7157/5599/468/191/6096/2033	8
WP4255	Non-small cell lung cancer	5/67	72/8205	0.000286183270572357	0.00647214473448254	0.00451868321956354	5925/7157/10912/581/836	5
WP5322	CKAP4 signaling pathway map	6/67	116/8205	0.000346798272226622	0.00728276371675907	0.00508463632211965	79923/3725/7157/5460/581/836	6
WP179	Cell cycle	6/67	120/8205	0.000416182989545447	0.00815718659509077	0.00569513564641138	5925/1028/7157/993/10912/2033	6
WP254	Apoptosis	5/67	88/8205	0.000724712123851244	0.0131962380344911	0.00921327037853836	3725/1676/7157/581/836	5
WP4263	Pancreatic adenocarcinoma pathway	5/67	89/8205	0.000763047777504587	0.0131962380344911	0.00921327037853836	5925/7157/5599/10912/581	5
WP4630	Measles virus infection	6/67	136/8205	0.000808674208147572	0.0132083453997437	0.00922172342624424	3725/9451/7157/5599/581/836	6
WP3286	Copper homeostasis	4/67	53/8205	0.000880349735520094	0.0136222538022583	0.00951070351392899	3725/7157/324/836	4
WP4925	Unfolded protein response	3/67	24/8205	0.00093174312481094	0.0136966239347208	0.00956262680727017	9451/7157/468	3
WP3646	Hepatitis C and hepatocellular carcinoma	4/67	56/8205	0.00108415654152793	0.015178191581391	0.0105970188269647	3725/7157/5599/836	4
WP4666	Hepatitis B infection	6/67	151/8205	0.00139268980399695	0.0186114001079593	0.0129939957789189	3725/5599/468/581/2033/836	6
WP4262	Breast cancer pathway	6/67	155/8205	0.00159250852754264	0.0190499055469573	0.013300148878112	5925/3725/7157/10912/581/324	6
WP4396	Nonalcoholic fatty liver disease	6/67	155/8205	0.00159250852754264	0.0190499055469573	0.013300148878112	3725/9451/5599/468/581/836	6
WP4932	7q11.23 copy number variation syndrome	5/67	106/8205	0.00167469669836593	0.0190499055469573	0.013300148878112	5925/1028/9451/10477/468	5
